Date,Sentiment_Score,Num_Articles,Sentiment_Label
2022-11-18,-0.9541348218917847,1,Negative
2022-11-20,0.04657153505831957,2,Neutral
2022-11-21,-0.1649217071632544,3,Negative
2022-11-22,-0.17742732167243958,2,Negative
2022-11-24,0.6093523018062115,3,Positive
2022-11-25,-0.042282700538635254,2,Neutral
2022-11-28,0.5008469330003629,13,Positive
2022-11-29,0.5863358436618,16,Positive
2022-11-30,0.696017620464166,6,Positive
2022-12-01,-0.13981803754965463,6,Negative
2022-12-04,0.4285060316324234,2,Positive
2022-12-05,0.0050574491421381635,3,Neutral
2022-12-06,-0.7609417777169835,11,Negative
2022-12-07,-0.21541786193847656,10,Negative
2022-12-08,-0.11024174839258194,5,Negative
2022-12-09,0.0832788273692131,2,Neutral
2022-12-11,0.053621672093868256,1,Neutral
2022-12-13,0.04204978793859482,4,Neutral
2022-12-14,0.5334816599885622,6,Positive
2022-12-15,-0.6081859221061071,3,Negative
2022-12-16,-0.6770497625693679,8,Negative
2022-12-18,0.07460349798202515,1,Neutral
2022-12-19,0.06401671096682549,4,Neutral
2022-12-20,-0.9209825462765164,9,Negative
2022-12-21,-0.08661013469099998,4,Neutral
2022-12-22,-0.2473447322845459,5,Negative
2022-12-23,-0.6068981885910034,3,Negative
2022-12-24,0.07044296711683273,11,Neutral
2022-12-25,0.3002624570702513,12,Positive
2022-12-26,0.4354713189601898,25,Positive
2022-12-27,0.30506037970383965,15,Positive
2022-12-28,0.04661614363166419,11,Neutral
2022-12-29,0.2199617281023945,14,Positive
2022-12-30,0.40535347699187696,16,Positive
2022-12-31,-0.06110896459884114,9,Neutral
2023-01-01,-0.19811041626547063,7,Negative
2023-02-01,0.24219666692343625,11,Positive
2023-02-02,0.2604793347418308,4,Positive
2023-02-03,0.007126774949332078,6,Neutral
2023-02-04,-0.006953518837690353,1,Neutral
2023-02-06,-0.3606194903453191,6,Negative
2023-02-08,0.6426183119416237,5,Positive
2023-02-09,-0.4716301951557398,2,Negative
2023-02-10,0.19850462675094604,3,Positive
2023-02-13,-0.41522475704550743,4,Negative
2023-02-14,0.17077006896336874,3,Positive
2023-02-15,-0.023921426385641098,1,Neutral
2023-02-16,0.7929143667221069,5,Positive
2023-02-17,-0.3157678047815959,3,Negative
2023-02-18,-0.6163104772567749,6,Negative
2023-02-20,-0.6787582337856293,2,Negative
2023-02-21,-0.804909735918045,2,Negative
2023-02-22,-0.7507722442123023,11,Negative
2023-02-23,-0.33275286356608075,6,Negative
2023-02-24,-0.15242890330652395,6,Negative
2023-02-26,-0.015030775219202042,1,Neutral
2023-02-27,-0.4424462467432022,4,Negative
2023-02-28,-0.4006793424487114,8,Negative
2023-03-01,0.10381519546111424,9,Positive
2023-03-02,-0.8213664889335632,1,Negative
2023-03-03,0.13237129151821136,4,Positive
2023-03-05,0.0037780553102493286,1,Neutral
2023-03-06,0.9025004208087921,2,Positive
2023-03-07,0.05608405917882919,1,Neutral
2023-03-08,-0.4828270673751831,2,Negative
2023-03-09,-0.561461341381073,5,Negative
2023-03-10,-0.9501065015792847,2,Negative
2023-03-11,-0.9412481188774109,1,Negative
2023-03-13,-0.935767650604248,3,Negative
2023-03-15,-0.5552630623181661,3,Negative
2023-03-17,0.26350343227386475,3,Positive
2023-03-20,0.8982893824577332,1,Positive
2023-03-21,0.09034886956214905,3,Neutral
2023-03-25,-0.010124988853931427,1,Neutral
2023-03-26,-0.0031110644340515137,1,Neutral
2023-03-27,-0.6225989460945129,1,Negative
2023-03-31,0.6644390920797983,3,Positive
2023-04-03,-0.9302104115486145,3,Negative
2023-04-05,0.4479231107980013,2,Positive
2023-04-06,0.08734153459469478,6,Neutral
2023-04-10,-0.4099205732345581,1,Negative
2023-04-11,-0.027455576136708258,5,Neutral
2023-04-12,0.9217736124992371,1,Positive
2023-04-13,-0.9173533022403717,2,Negative
2023-04-17,-0.509273111820221,1,Negative
2023-04-18,-0.8051471710205078,2,Negative
2023-04-20,0.8498348593711853,1,Positive
2023-04-21,-0.9527682065963745,1,Negative
2023-04-22,0.09389104880392551,2,Neutral
2023-04-24,-0.22987043857574463,1,Negative
2023-04-25,0.8630977869033813,1,Positive
2023-04-27,0.7911902467409769,3,Positive
2023-04-28,-0.6194571753342947,3,Negative
2023-05-01,0.04674071539193392,2,Neutral
2023-05-02,0.32716383412480354,6,Positive
2023-05-03,-0.46750640869140625,1,Negative
2023-05-04,-0.8965572714805603,1,Negative
2023-05-08,0.23758097644895315,2,Positive
2023-05-09,0.16802189871668816,3,Positive
2023-05-10,-0.9112255573272705,1,Negative
2023-05-11,0.728818953037262,1,Positive
2023-05-13,0.9305547475814819,1,Positive
2023-05-15,-0.3060467541217804,1,Negative
2023-05-16,-0.6599836423993111,3,Negative
2023-05-17,-0.9116171002388,2,Negative
2023-05-22,-0.6037955982610583,6,Negative
2023-05-23,-0.9431444406509399,1,Negative
2023-05-24,-0.9389257192611694,5,Negative
2023-05-25,-0.9575188755989075,1,Negative
2023-05-26,0.5401310424009959,3,Positive
2023-05-27,0.9155588746070862,1,Positive
2023-05-29,0.06303240731358528,4,Neutral
2023-05-30,0.46314852498471737,2,Positive
2023-05-31,-0.13192195693651834,3,Negative
2023-06-01,0.5349995593229929,9,Positive
2023-06-02,0.6481190919876099,1,Positive
2023-06-08,-0.05587726682424545,5,Neutral
2023-06-09,0.7881587147712708,1,Positive
2023-06-12,-0.11374339461326599,2,Negative
2023-06-13,-0.07280302047729492,1,Neutral
2023-06-14,0.3037518560886383,1,Positive
2023-06-15,0.11177518963813782,1,Positive
2023-06-16,0.8973813056945801,1,Positive
2023-06-17,0.1057823896408081,1,Positive
2023-06-18,0.4508251450024545,4,Positive
2023-06-19,-0.35365364253520964,5,Negative
2023-06-20,0.14195157090822855,6,Positive
2023-06-21,-0.16542469561100007,5,Negative
2023-06-22,0.5490274727344513,3,Positive
